n,model,command,mean,stddev,median,user,system,min,max
025,in_return_expression,savilerow,0.3274568663333334,0.006274749047791994,0.33106735400000004,0.8192117333333333,0.052658633333333336,0.320211424,0.33109182100000006
025,in_return_expression,conjureoxide,6.2160661059999995,0.06041399759600474,6.185611965,6.170788066666667,0.020154966666666663,6.176940071,6.285646282
025,inside_comprehension,savilerow,0.20142612846666666,0.007785384766914759,0.20072175180000001,0.5756904533333334,0.037595446666666664,0.19401686680000002,0.20953976680000003
025,inside_comprehension,conjureoxide,6.174639466466666,0.01573474888896477,6.180321194799999,6.132262453333333,0.021393446666666666,6.1568530078,6.186744196799999
050,in_return_expression,savilerow,1.96160585334,0.02816965125992759,1.94740176934,2.4427594066666662,0.07759490000000001,1.9433659883400003,1.9940498023400002
050,in_return_expression,conjureoxide,7.604982803673333,0.0676543718045734,7.58434159334,7.53085374,0.0493419,7.550053356339999,7.68055346134
050,inside_comprehension,savilerow,0.35744539395999997,0.0025961300130238237,0.35619439296,0.80837876,0.05547981333333333,0.35571162796,0.36043016096
050,inside_comprehension,conjureoxide,7.7006563512933335,0.0736227776372055,7.7267253589600005,7.632403759999999,0.04462248,7.61754604196,7.75769765296
075,in_return_expression,savilerow,22.74008507522667,0.23723824942899638,22.752963500560003,23.52645788,0.18884304666666665,22.496669921560002,22.97062180356
075,in_return_expression,conjureoxide,11.41278164356,0.07483468200977997,11.38084824756,11.293308213333333,0.08962171333333331,11.35921113356,11.49828554956
075,inside_comprehension,savilerow,0.7042214866533335,0.01112084443548156,0.7036953493200001,1.23443028,0.07743146,0.6933730493200001,0.7155960613200001
075,inside_comprehension,conjureoxide,11.317257736986669,0.006919133478509419,11.31902971232,11.19291828,0.09164679333333332,11.30962493632,11.323118562320001
100,in_return_expression,savilerow,124.41612152726667,1.0401814418077842,124.9376102236,125.62567685333333,0.3792244133333333,123.2183528536,125.0924015046
100,in_return_expression,conjureoxide,17.138121214266665,0.10731884784584486,17.1932135136,16.898292186666666,0.17499407999999997,17.014445131600002,17.206704997600003
100,inside_comprehension,savilerow,1.3248877893666668,0.023802281264125303,1.3204004947,1.9414792399999998,0.07170956666666665,1.3036485337000001,1.3506143397
100,inside_comprehension,conjureoxide,16.891602152033332,0.05217493033524822,16.8852790247,16.674066573333334,0.17230023333333333,16.842876945700002,16.9466504857
125,in_return_expression,savilerow,480.66901986996663,3.1502982801134087,479.5526660013,482.6685191066667,0.71988236,478.2289148323,484.2254787763
