n,Model,Program,Mean time (s),$\sigma$ (s)
25,Dynamic Guard,Savile Row,0.327,0.00627
25,Dynamic Guard,Conjure Oxide,6.225,0.0604
25,Static Guard,Savile Row,0.201,0.00779
25,Static Guard,Conjure Oxide,6.17,0.0157
50,Dynamic Guard,Savile Row,1.96,0.0282
50,Dynamic Guard,Conjure Oxide,7.60,0.0677
50,Static Guard,Savile Row,0.357,0.00260
50,Static Guard,Conjure Oxide,7.70,0.0736
75,Dynamic Guard,Savile Row,22.7,0.237
75,Dynamic Guard,Conjure Oxide,11.4,0.0748
75,Static Guard,Savile Row,0.704,0.0111
75,Static Guard,Conjure Oxide,11.3,0.00692
100,Dynamic Guard,Savile Row,124,1.04
100,Dynamic Guard,Conjure Oxide,17.1,0.107
100,Static Guard,Savile Row,1.32,0.0238
100,Static Guard,Conjure Oxide,16.9,0.0524
